Sport,Email #,Subject Line,Age Group ,Click Rate (%)
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,0-18,0
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,19-30,10
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,31-40,0
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,41-50,4
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,51-60,0
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,61-70,0
Women's Volleyball ,1,Athletics Giving Week Has Begun - Women's Volleyball ,70+,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,0-18,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,19-30,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,31-40,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,41-50,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,51-60,0
Women's Volleyball ,2,A Message From Coach Wendy Smith ,61-70,5.8
Women's Volleyball ,2,A Message From Coach Wendy Smith ,70+,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,0-18,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,19-30,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,31-40,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,41-50,11.7
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,51-60,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,61-70,0
Women's Volleyball ,3,Last Chance to Give - Women's Volleyball ,70+,9.1
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,0-18,0
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,19-30,0
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,31-40,0
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,41-50,11.7
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,51-60,0
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,61-70,0
Men's Volleyball ,1,Athletics Giving Week Has Begun - Men's Volleyball ,70+,9.1
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,0-18,11.1
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,19-30,0
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,31-40,0
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,41-50,0
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,51-60,0
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,61-70,0
Men's Volleyball ,2,A Message From Coach Alexis Ritson ,70+,5.2
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,0-18,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,19-30,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,31-40,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,41-50,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,51-60,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,61-70,0
Men's Volleyball ,3,Last Chance to Give - Men's Volleyball ,70+,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,0-18,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,19-30,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,31-40,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,41-50,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,51-60,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,61-70,0
Women's Soccer ,1,Athletics Giving Week Has Begun - Women's Soccer ,70+,0
Women's Soccer ,2,A Message From Coach Micah Fitz,0-18,0
Women's Soccer ,2,A Message From Coach Micah Fitz,19-30,0
Women's Soccer ,2,A Message From Coach Micah Fitz,31-40,3.1
Women's Soccer ,2,A Message From Coach Micah Fitz,41-50,7.2
Women's Soccer ,2,A Message From Coach Micah Fitz,51-60,14.2
Women's Soccer ,2,A Message From Coach Micah Fitz,61-70,0
Women's Soccer ,2,A Message From Coach Micah Fitz,70+,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,0-18,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,19-30,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,31-40,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,41-50,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,51-60,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,61-70,0
Women's Soccer ,3,Last Chance to Give - Women's Soccer ,70+,0
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,0-18,0
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,19-30,5
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,31-40,0
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,41-50,0
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,51-60,2.1
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,61-70,2.5
Men's Soccer ,1,Athletics Giving Week Has Begun - Men's Soccer ,70+,0
Men's Soccer ,2,A Message From Coach Gary Dunda,0-18,0
Men's Soccer ,2,A Message From Coach Gary Dunda,19-30,5
Men's Soccer ,2,A Message From Coach Gary Dunda,31-40,2.1
Men's Soccer ,2,A Message From Coach Gary Dunda,41-50,2.1
Men's Soccer ,2,A Message From Coach Gary Dunda,51-60,6.3
Men's Soccer ,2,A Message From Coach Gary Dunda,61-70,2.5
Men's Soccer ,2,A Message From Coach Gary Dunda,70+,7.7
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,0-18,0
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,19-30,2.5
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,31-40,0
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,41-50,0
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,51-60,2.1
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,61-70,2.5
Men's Soccer ,3,Last Chance to Give - Men's Soccer ,70+,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,0-18,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,19-30,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,31-40,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,41-50,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,51-60,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,61-70,0
Women's Basketball,1,Athletics Giving Week Has Begun - Women's Basketball ,70+,0
Women's Basketball,2,A Message From Coach Michael Grinder,0-18,0
Women's Basketball,2,A Message From Coach Michael Grinder,19-30,0
Women's Basketball,2,A Message From Coach Michael Grinder,31-40,0
Women's Basketball,2,A Message From Coach Michael Grinder,41-50,0
