Assigned Appeal Description,Assigned Appeal ID,Assigned Appeal Response,Age,Constituent ID,Lifetime Giving
Today Is Your Last Chance To Give - Golf 20250426,BBOX58532156,Opt-Out,24,1527419,$0.00 
A Message From Coach Jeff Santarsiero 20250422,BBOX58519971,Opt-Out,78,991009871,"$5,240.00 "
Today Is Your Last Chance To Give - Women's Volleyball 20250426,BBOX58531316,Opt-Out,72,991002736,$0.00 
Today Is Your Last Chance To Give - Women's Volleyball 20250426,BBOX58531316,Bounced,72,990000105,$57.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,31,1400746,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,31,1389301,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,28,1501783,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,60,999935900,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,61,991005087,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,36,1332448,$0.00 
Today Is Your Last Chance To Give - Women's Soccer 20250426,BBOX58531392,Bounced,36,1324849,$0.00 
Today Is Your Last Chance To Give - Men's Volleyball 20250426,BBOX58531596,Bounced,28,1501729,$0.00 
Today Is Your Last Chance To Give - Women's Basketball 20250426,BBOX58531562,Bounced,27,1505979,$0.00 
Today Is Your Last Chance To Give - Women's Volleyball 20250426,BBOX58531316,Bounced,35,1348270,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,43,1251727,"$1,350.00 "
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,52,1037674,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,33,1385437,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,29,1418152,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,49,1108444,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,63,990000087,"$3,801.00 "
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,35,1347637,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,63,991002248,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,29,1415374,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,36,1340590,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,47,1190810,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,53,1055650,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,60,1269949,$100.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,61,991001479,$35.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,57,1203796,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,70,991001558,"$2,062.00 "
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,24,1531260,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,47,1181623,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,31,1393483,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,60,991001160,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,53,901272094,$61.25 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,37,1331380,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,26,1506800,$0.00 
A Message From Coach Geno DeMarco 20250422,BBOX58519622,Bounced,45,1252885,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,60,991001160,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,61,991001479,$35.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,64,991002127,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,63,991002248,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,63,990000087,"$3,801.00 "
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,66,991000017,"$1,300.00 "
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,66,991000696,$30.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,68,991000724,$475.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,70,991001558,"$2,062.00 "
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,70,991001851,$0.00 
Athletics Giving Week Has Begun - Cross Country 20250421,BBOX58575785,Bounced,26,1512733,$0.00 
Athletics Giving Week Has Begun - Cross Country 20250421,BBOX58575785,Bounced,23,1538633,$0.00 
Athletics Giving Week Has Begun - Tennis 20250421,BBOX58516040,Bounced,30,1404934,$0.00 
Athletics Giving Week Has Begun - Tennis 20250421,BBOX58516040,Bounced,31,1399315,$0.00 
Athletics Giving Week Has Begun - Tennis 20250421,BBOX58516040,Bounced,30,1420639,$0.00 
Athletics Giving Week Has Begun - Tennis 20250421,BBOX58516040,Bounced,27,1503665,$0.00 
Athletics Giving Week Has Begun - Tennis 20250421,BBOX58516040,Bounced,49,999940511,$0.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,64,991002127,$0.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,55,901271464,$50.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,74,991004260,$0.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,64,991005290,$0.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,37,1339645,$0.00 
Athletics Giving Week Has Begun - Track & Field 20250421,BBOX58515852,Bounced,34,1360741,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,72,990000105,$57.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,60,991004038,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,55,901271464,$50.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,61,991005087,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,67,991005210,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,67,991004020,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,70,991003145,$500.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,53,901272094,$61.25 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,86,991015423,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,64,991005290,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,70,991005629,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,53,1055650,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,47,1190810,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,74,991005749,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,52,1053481,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,49,1108444,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,47,1181623,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,57,1203796,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,52,1037674,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,50,1111579,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,44,1230316,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,38,1304869,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,33,1359022,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,33,1371679,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,43,1253836,$0.00 
A Letter from the Athletic Director 20250424,BBOX58517406,Bounced,37,1328152,$0.00 
